Brand,Shipping,Product name 

EVGA,$3.99 Shipping,EVGA GeForce GTX 1050 Ti SC GAMING| 04G-P4-6253-KR| 4GB GDDR5| DX12 OSD Support (PXOC)

GIGABYTE,$4.99 Shipping,GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070G1 GAMING-8GD R2 Video Card

ZOTAC,$4.99 Shipping,ZOTAC GeForce GTX 1060 AMP!| ZT-P10600B-10M| 6GB GDDR5 Super Compact Dual-Fan IceStorm Cooling FREEZE Fan Stop

ASUS,$4.99 Shipping,ASUS GeForce GTX 1080 TURBO-GTX1080-8G Video Card

MSI,$6.99 Shipping,MSI Black Radeon RX Vega 64 DirectX 12 RADEON RX VEGA 64 8G Video Card - Black Fan

ZOTAC,$4.99 Shipping,ZOTAC GeForce GTX 1060 Mini| ZT-P10600A-10L| 6GB GDDR5 Super Compact

ASUS,$4.99 Shipping,ASUS ROG GeForce GTX 1070 STRIX-GTX1070-O8G-GAMING Video Card with RGB Lighting

EVGA,$4.99 Shipping,EVGA GeForce GTX 1080 Ti DirectX 12 11G-P4-6796-K4 Video Card
