Brand,Shipping,Product name 

EVGA,Free Shipping,EVGA GeForce GTX 1060 GAMING DirectX 12 06G-P4-6262-KR Video Card

GIGABYTE,$9.99 Shipping,GIGABYTE AORUS GeForce GTX 1080 Ti DirectX 12 GV-N108TAORUS X-11GD Xtreme Edition Video Card

ASUS,Free Shipping,ASUS ROG GeForce GTX 1070 STRIX-GTX1070-O8G-GAMING Video Card with RGB Lighting

MSI,Free Shipping,MSI GeForce GTX 1070 DirectX 12 GeForce GTX 1070 Quick Silver 8G OC Video Card

XFX,$3.99 Shipping,XFX Radeon RX 550 DirectX 12 RX-550P4TFG5 Video Card

ZOTAC,Free Shipping,ZOTAC GeForce GTX 1080 Ti AMP Edition 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810D-10P

EVGA,Free Shipping,EVGA GeForce GTX 1070 FTW GAMING ACX 3.0| 08G-P4-6276-KR| 8GB GDDR5| RGB LED| 10CM FAN| 10 Power Phases| Double BIOS| DX12 OSD Support (PXOC)

GIGABYTE,$3.99 Shipping,GIGABYTE Radeon RX 460 DirectX 12 GV-RX460WF2OC-4GD Video Card

XFX,$3.99 Shipping,XFX Radeon RX 460 DirectX 12 RX-460P4DFG5 Video Card

MSI,$3.99 Shipping,MSI Radeon RX 550 DirectX 12 RX 550 AERO ITX 2G O 2GB 128-Bit GDDR5 PCI Express x16 (uses x8) HDCP Ready Video Card

ZOTAC,$4.99 Shipping,ZOTAC GeForce GTX 1080 Ti AMP Extreme 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810C-10P

ASUS,Free Shipping,ASUS GeForce GTX 1060 DUAL-GTX1060-O3G Video Card
